nbpts,z_h,Te
683,4.94E+10,2.34E+06
684,4.95E+10,2.34E+06
685,4.96E+10,2.34E+06
686,4.97E+10,2.34E+06
687,4.97E+10,2.34E+06
688,4.98E+10,2.34E+06
689,4.99E+10,2.34E+06
690,5.00E+10,2.34E+06
691,5.00E+10,2.34E+06
692,5.01E+10,2.34E+06
693,5.02E+10,2.34E+06
694,5.02E+10,2.34E+06
695,5.03E+10,2.34E+06
696,5.04E+10,2.34E+06
697,5.05E+10,2.34E+06
698,5.05E+10,2.34E+06
699,5.06E+10,2.34E+06
700,5.07E+10,2.34E+06
701,5.08E+10,2.34E+06
702,5.08E+10,2.34E+06
703,5.09E+10,2.34E+06
704,5.10E+10,2.34E+06
705,5.10E+10,2.34E+06
706,5.11E+10,2.34E+06
707,5.12E+10,2.34E+06
708,5.13E+10,2.34E+06
709,5.13E+10,2.34E+06
710,5.14E+10,2.34E+06
711,5.15E+10,2.34E+06
712,5.15E+10,2.34E+06
713,5.16E+10,2.34E+06
714,5.17E+10,2.34E+06
715,5.18E+10,2.34E+06
716,5.18E+10,2.34E+06
717,5.19E+10,2.34E+06
718,5.20E+10,2.34E+06
719,5.21E+10,2.34E+06
720,5.21E+10,2.34E+06
721,5.22E+10,2.34E+06
722,5.23E+10,2.34E+06
723,5.23E+10,2.34E+06
724,5.24E+10,2.34E+06
725,5.25E+10,2.34E+06
726,5.26E+10,2.34E+06
727,5.26E+10,2.34E+06
728,5.27E+10,2.34E+06
729,5.28E+10,2.34E+06
730,5.29E+10,2.34E+06
731,5.29E+10,2.34E+06
732,5.30E+10,2.34E+06
733,5.31E+10,2.34E+06
734,5.31E+10,2.34E+06
735,5.32E+10,2.34E+06
736,5.33E+10,2.34E+06
737,5.34E+10,2.34E+06
738,5.34E+10,2.34E+06
739,5.35E+10,2.34E+06
740,5.36E+10,2.34E+06
741,5.37E+10,2.34E+06
742,5.37E+10,2.34E+06
743,5.38E+10,2.34E+06
744,5.39E+10,2.34E+06
745,5.39E+10,2.34E+06
746,5.40E+10,2.34E+06
747,5.41E+10,2.34E+06
748,5.42E+10,2.34E+06
749,5.42E+10,2.34E+06
750,5.43E+10,2.34E+06
751,5.44E+10,2.34E+06
752,5.45E+10,2.34E+06
