nbpts,z_h,Te
660,47777000000,2329300
661,47849000000,2329500
662,47922000000,2329800
663,47994000000,2330000
664,48067000000,2330300
665,48139000000,2330600
666,48212000000,2330800
667,48284000000,2331100
668,48357000000,2331300
669,48429000000,2331600
670,48502000000,2331800
671,48574000000,2332100
672,48647000000,2332400
673,48719000000,2332600
674,48792000000,2332900
675,48864000000,2333100
676,48937000000,2333400
677,49009000000,2333600
678,49082000000,2333900
679,49154000000,2334200
680,49227000000,2334400
681,49299000000,2334700
682,49372000000,2334900
683,49444000000,2335200
684,49517000000,2335400
685,49589000000,2335700
686,49662000000,2336000
687,49734000000,2336200
688,49807000000,2336500
689,49879000000,2336700
690,49952000000,2337000
691,50024000000,2337200
692,50097000000,2337500
693,50169000000,2337800
694,50242000000,2338000
695,50314000000,2338300
696,50387000000,2338500
697,50459000000,2338800
698,50532000000,2339000
699,50604000000,2339300
700,50677000000,2339600
701,50750000000,2339800
702,50822000000,2340000
703,50895000000,2340000
704,50967000000,2340100
705,51040000000,2340100
706,51112000000,2340100
707,51185000000,2340200
708,51257000000,2340200
709,51330000000,2340200
710,51402000000,2340300
711,51475000000,2340300
712,51547000000,2340300
713,51620000000,2340400
714,51692000000,2340400
715,51765000000,2340400
716,51837000000,2340500
717,51910000000,2340500
718,51982000000,2340500
719,52055000000,2340600
720,52127000000,2340600
721,52200000000,2340600
722,52272000000,2340600
723,52345000000,2340700
724,52417000000,2340700
725,52490000000,2340700
726,52562000000,2340800
727,52635000000,2340800
728,52707000000,2340800
729,52780000000,2340900
730,52852000000,2340900
731,52925000000,2340900
732,52997000000,2341000
733,53070000000,2341000
734,53142000000,2341000
735,53215000000,2341100
736,53287000000,2341100
737,53360000000,2341100
738,53432000000,2341200
739,53505000000,2341200
740,53577000000,2341200
741,53650000000,2341200
742,53722000000,2341300
743,53795000000,2341300
744,53867000000,2341300
745,53940000000,2341400
746,54012000000,2341400
747,54085000000,2341400
748,54157000000,2341500
749,54230000000,2341500
750,54302000000,2341500
751,54375000000,2341600
752,54448000000,2341600
753,54520000000,2341600
754,54593000000,2341700
755,54665000000,2341700
756,54738000000,2341700
757,54810000000,2341700
758,54883000000,2341800
759,54955000000,2341800
760,55028000000,2341800
761,55100000000,2341900
762,55173000000,2341900
763,55245000000,2341900
764,55318000000,2342000
765,55390000000,2342000
766,55463000000,2342000
767,55535000000,2342100
768,55608000000,2342100
769,55680000000,2342100
770,55753000000,2342100
771,55825000000,2342200
772,55898000000,2342200
773,55970000000,2342200
774,56043000000,2342300
775,56115000000,2342300
776,56188000000,2342300
777,56260000000,2342400
778,56333000000,2342400
779,56405000000,2342400
780,56478000000,2342500
781,56550000000,2342500
782,56623000000,2342500
783,56695000000,2342500
784,56768000000,2342600
785,56840000000,2342600
786,56913000000,2342600
787,56985000000,2342700
788,57058000000,2342700
789,57130000000,2342700
790,57203000000,2342800
791,57275000000,2342800
792,57348000000,2342800
793,57420000000,2342800
794,57493000000,2342900
795,57565000000,2342900
796,57638000000,2342900
797,57710000000,2343000
798,57783000000,2343000
799,57855000000,2343000
800,57928000000,2343100
801,58001000000,2343100
802,58073000000,2343100
803,58146000000,2343100
804,58218000000,2343200
805,58291000000,2343200
806,58363000000,2343200
807,58436000000,2343300
808,58508000000,2343300
809,58581000000,2343300
810,58653000000,2343400
811,58726000000,2343400
812,58798000000,2343400
813,58871000000,2343400
814,58943000000,2343500
815,59016000000,2343500
816,59088000000,2343500
817,59161000000,2343600
818,59233000000,2343600
819,59306000000,2343600
820,59378000000,2343700
821,59451000000,2343700
822,59523000000,2343700
823,59596000000,2343700
824,59668000000,2343800
825,59741000000,2343800
826,59813000000,2343800
827,59886000000,2343900
828,59958000000,2343900
829,60031000000,2343900
830,60103000000,2344000
831,60176000000,2344000
832,60248000000,2344000
833,60321000000,2344000
834,60393000000,2344100
835,60466000000,2344100
836,60538000000,2344100
837,60611000000,2344200
838,60683000000,2344200
839,60756000000,2344200
840,60828000000,2344200
841,60901000000,2344300
842,60973000000,2344300
843,61046000000,2344300
844,61118000000,2344400
845,61191000000,2344400
846,61263000000,2344400
847,61336000000,2344400
848,61408000000,2344500
849,61481000000,2344500
850,61553000000,2344500
851,61626000000,2344600
852,61699000000,2344600
853,61771000000,2344600
854,61844000000,2344700
855,61916000000,2344700
856,61989000000,2344700
857,62061000000,2344700
858,62134000000,2344800
859,62206000000,2344800
860,62279000000,2344800
861,62351000000,2344900
862,62424000000,2344900
863,62496000000,2344900
864,62569000000,2344900
865,62641000000,2345000
866,62714000000,2345000
867,62786000000,2345000
868,62859000000,2345100
869,62931000000,2345100
870,63004000000,2345100
871,63076000000,2345100
872,63149000000,2345200
873,63221000000,2345200
874,63294000000,2345200
875,63366000000,2345300
876,63439000000,2345300
877,63511000000,2345300
878,63584000000,2345300
879,63656000000,2345400
880,63729000000,2345400
881,63801000000,2345400
882,63874000000,2345500
883,63946000000,2345500
884,64019000000,2345500
885,64091000000,2345500
886,64164000000,2345600
887,64236000000,2345600
888,64309000000,2345600
889,64381000000,2345700
890,64454000000,2345700
891,64526000000,2345700
892,64599000000,2345700
893,64671000000,2345800
894,64744000000,2345800
895,64816000000,2345800
896,64889000000,2345800
897,64961000000,2345900
898,65034000000,2345900
899,65106000000,2345900
900,65179000000,2346000
901,65252000000,2346000
902,65324000000,2346000
903,65397000000,2346000
904,65469000000,2346100
905,65542000000,2346100
906,65614000000,2346100
907,65687000000,2346200
908,65759000000,2346200
909,65832000000,2346200
910,65904000000,2346200
911,65977000000,2346300
912,66049000000,2346300
913,66122000000,2346300
914,66194000000,2346300
915,66267000000,2346400
916,66339000000,2346400
917,66412000000,2346400
918,66484000000,2346500
919,66557000000,2346500
920,66629000000,2346500
921,66702000000,2346500
922,66774000000,2346600
923,66847000000,2346600
924,66919000000,2346600
925,66992000000,2346700
926,67064000000,2346700
927,67137000000,2346700
928,67209000000,2346700
929,67282000000,2346800
930,67354000000,2346800
931,67427000000,2346800
932,67499000000,2346800
933,67572000000,2346900
934,67644000000,2346900
935,67717000000,2346900
936,67789000000,2347000
937,67862000000,2347000
938,67934000000,2347000
939,68007000000,2347000
940,68079000000,2347100
941,68152000000,2347100
942,68224000000,2347100
943,68297000000,2347100
944,68369000000,2347200
945,68442000000,2347200
946,68514000000,2347200
947,68587000000,2347300
948,68659000000,2347300
949,68732000000,2347300
950,68804000000,2347300
951,68877000000,2347400
952,68950000000,2347400
953,69022000000,2347400
954,69095000000,2347400
955,69167000000,2347500
956,69240000000,2347500
957,69312000000,2347500
958,69385000000,2347500
959,69457000000,2347600
960,69530000000,2347600
961,69602000000,2347600
962,69675000000,2347700
963,69747000000,2347700
964,69820000000,2347700
965,69892000000,2347700
966,69965000000,2347800
967,70037000000,2347800
968,70110000000,2347800
969,70182000000,2347800
970,70255000000,2347900
971,70327000000,2347900
972,70400000000,2347900
973,70472000000,2347900
974,70545000000,2348000
975,70617000000,2348000
976,70690000000,2348000
977,70762000000,2348100
978,70835000000,2348100
979,70907000000,2348100
980,70980000000,2348100
981,71052000000,2348200
982,71125000000,2348200
983,71197000000,2348200
984,71270000000,2348200
985,71342000000,2348300
986,71415000000,2348300
987,71487000000,2348300
988,71560000000,2348300
989,71632000000,2348400
