nbts,z_h,Te
1316,1110900000,850040
1317,1111800000,850310
1318,1112600000,850570
1319,1113500000,850840
1320,1114300000,851110
1321,1115200000,851370
1322,1116000000,851640
1323,1116900000,851900
1324,1117700000,852170
1325,1118600000,852430
1326,1119400000,852700
1327,1120300000,852960
1328,1121200000,853230
1329,1122000000,853490
1330,1122900000,853760
1331,1123700000,854020
1332,1124600000,854280
1333,1125400000,854550
1334,1126300000,854810
1335,1127100000,855070
1336,1128000000,855340
1337,1128800000,855600
1338,1129700000,855860
1339,1130500000,856130
1340,1131400000,856390
1341,1132200000,856650
1342,1133100000,856910
1343,1133900000,857180
1344,1134800000,857440
1345,1135600000,857700
1346,1136500000,857960
1347,1137300000,858220
1348,1138200000,858480
1349,1139100000,858750
1350,1139900000,859010
1351,1140800000,859270
1352,1141600000,859530
1353,1142500000,859790
1354,1143300000,860050
1355,1144200000,860310
1356,1145000000,860570
1357,1145900000,860830
1358,1146700000,861090
1359,1147600000,861350
1360,1148400000,861610
1361,1149300000,861870
1362,1150100000,862130
1363,1151000000,862390
1364,1151800000,862640
1365,1152700000,862900
1366,1153500000,863160
1367,1154400000,863420
1368,1155200000,863680
1369,1156100000,863940
1370,1157000000,864190
1371,1157800000,864450
1372,1158700000,864710
1373,1159500000,864970
1374,1160400000,865210
1375,1161200000,865450
1376,1162100000,865690
1377,1162900000,865930
1378,1163800000,866170
1379,1164600000,866410
1380,1165500000,866650
1381,1166300000,866890
1382,1167200000,867140
1383,1168000000,867380
1384,1168900000,867620
1385,1169700000,867860
1386,1170600000,868100
1387,1171400000,868340
1388,1172300000,868580
1389,1173100000,868820
1390,1174000000,869060
1391,1174900000,869300
1392,1175700000,869530
1393,1176600000,869770
1394,1177400000,870010
1395,1178300000,870250
1396,1179100000,870490
1397,1180000000,870730
1398,1180800000,870970
1399,1181700000,871210
1400,1182500000,871450
1401,1183400000,871690
1402,1184200000,871930
1403,1185100000,872160
1404,1185900000,872400
1405,1186800000,872640
1406,1187600000,872880
1407,1188500000,873120
1408,1189300000,873360
1409,1190200000,873590
1410,1191000000,873830
1411,1191900000,874070
1412,1192800000,874310
1413,1193600000,874540
1414,1194500000,874780
1415,1195300000,875020
1416,1196200000,875260
1417,1197000000,875490
1418,1197900000,875730
1419,1198700000,875970
1420,1199600000,876210
1421,1200400000,876440
1422,1201300000,876680
1423,1202100000,876920
1424,1203000000,877150
